T P CH4 O2 N2 AR
8.500000000000000000e+02 1.013250000000000000e+05 9.876944320821084977e-02 2.085900007225279795e-01 6.805834649838383710e-01 1.205709108542292289e-02
8.500000000000000000e+02 1.013250000000000000e+05 8.548620522047528647e-02 2.116644089309253629e-01 6.906145852868159629e-01 1.223480056178333913e-02
8.500000000000000000e+02 1.013250000000000000e+05 7.180554633241773010e-02 2.148308002897614533e-01 7.009458264538275252e-01 1.241782692399313708e-02
8.500000000000000000e+02 1.013250000000000000e+05 5.770936003944032722e-02 2.180933655533096593e-01 7.115908619977663330e-01 1.260641240948371170e-02
8.500000000000000000e+02 1.013250000000000000e+05 4.317842296506823468e-02 2.214565539760725288e-01 7.225642088611295977e-01 1.280081419772970130e-02
8.500000000000000000e+02 1.013250000000000000e+05 2.819230739651817919e-02 2.249250935564431064e-01 7.338812934666489873e-01 1.300130558038976175e-02
9.000000000000000000e+02 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
9.000000000000000000e+02 1.013250000000000000e+05 1.364005759726714950e-01 1.998802671794587260e-01 6.521655129569182696e-01 1.155364389095150067e-02
9.000000000000000000e+02 1.013250000000000000e+05 1.242109710772004022e-01 2.027015537800871958e-01 6.613707529191272805e-01 1.171672222358504864e-02
9.000000000000000000e+02 1.013250000000000000e+05 1.116723298794249919e-01 2.056036249058310617e-01 6.708395750848438199e-01 1.188447012990015081e-02
9.000000000000000000e+02 1.013250000000000000e+05 9.876944320821084977e-02 2.085900007225279795e-01 6.805834649838383710e-01 1.205709108542292289e-02
9.000000000000000000e+02 1.013250000000000000e+05 8.548620522047528647e-02 2.116644089309253629e-01 6.906145852868159629e-01 1.223480056178333913e-02
9.000000000000000000e+02 1.013250000000000000e+05 7.180554633241773010e-02 2.148308002897614533e-01 7.009458264538275252e-01 1.241782692399313708e-02
9.000000000000000000e+02 1.013250000000000000e+05 5.770936003944032722e-02 2.180933655533096593e-01 7.115908619977663330e-01 1.260641240948371170e-02
9.000000000000000000e+02 1.013250000000000000e+05 4.317842296506823468e-02 2.214565539760725288e-01 7.225642088611295977e-01 1.280081419772970130e-02
9.000000000000000000e+02 1.013250000000000000e+05 2.819230739651817919e-02 2.249250935564431064e-01 7.338812934666489873e-01 1.300130558038976175e-02
9.500000000000000000e+02 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
9.500000000000000000e+02 1.013250000000000000e+05 1.364005759726714950e-01 1.998802671794587260e-01 6.521655129569182696e-01 1.155364389095150067e-02
9.500000000000000000e+02 1.013250000000000000e+05 1.242109710772004022e-01 2.027015537800871958e-01 6.613707529191272805e-01 1.171672222358504864e-02
9.500000000000000000e+02 1.013250000000000000e+05 1.116723298794249919e-01 2.056036249058310617e-01 6.708395750848438199e-01 1.188447012990015081e-02
9.500000000000000000e+02 1.013250000000000000e+05 9.876944320821084977e-02 2.085900007225279795e-01 6.805834649838383710e-01 1.205709108542292289e-02
9.500000000000000000e+02 1.013250000000000000e+05 8.548620522047528647e-02 2.116644089309253629e-01 6.906145852868159629e-01 1.223480056178333913e-02
9.500000000000000000e+02 1.013250000000000000e+05 7.180554633241773010e-02 2.148308002897614533e-01 7.009458264538275252e-01 1.241782692399313708e-02
9.500000000000000000e+02 1.013250000000000000e+05 5.770936003944032722e-02 2.180933655533096593e-01 7.115908619977663330e-01 1.260641240948371170e-02
9.500000000000000000e+02 1.013250000000000000e+05 4.317842296506823468e-02 2.214565539760725288e-01 7.225642088611295977e-01 1.280081419772970130e-02
9.500000000000000000e+02 1.013250000000000000e+05 2.819230739651817919e-02 2.249250935564431064e-01 7.338812934666489873e-01 1.300130558038976175e-02
1.000000000000000000e+03 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
1.000000000000000000e+03 1.013250000000000000e+05 1.364005759726714950e-01 1.998802671794587260e-01 6.521655129569182696e-01 1.155364389095150067e-02
1.000000000000000000e+03 1.013250000000000000e+05 1.242109710772004022e-01 2.027015537800871958e-01 6.613707529191272805e-01 1.171672222358504864e-02
1.000000000000000000e+03 1.013250000000000000e+05 1.116723298794249919e-01 2.056036249058310617e-01 6.708395750848438199e-01 1.188447012990015081e-02
1.000000000000000000e+03 1.013250000000000000e+05 9.876944320821084977e-02 2.085900007225279795e-01 6.805834649838383710e-01 1.205709108542292289e-02
1.000000000000000000e+03 1.013250000000000000e+05 8.548620522047528647e-02 2.116644089309253629e-01 6.906145852868159629e-01 1.223480056178333913e-02
1.000000000000000000e+03 1.013250000000000000e+05 7.180554633241773010e-02 2.148308002897614533e-01 7.009458264538275252e-01 1.241782692399313708e-02
1.000000000000000000e+03 1.013250000000000000e+05 5.770936003944032722e-02 2.180933655533096593e-01 7.115908619977663330e-01 1.260641240948371170e-02
1.000000000000000000e+03 1.013250000000000000e+05 4.317842296506823468e-02 2.214565539760725288e-01 7.225642088611295977e-01 1.280081419772970130e-02
1.000000000000000000e+03 1.013250000000000000e+05 2.819230739651817919e-02 2.249250935564431064e-01 7.338812934666489873e-01 1.300130558038976175e-02
1.050000000000000000e+03 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
1.050000000000000000e+03 1.013250000000000000e+05 1.364005759726714950e-01 1.998802671794587260e-01 6.521655129569182696e-01 1.155364389095150067e-02
1.050000000000000000e+03 1.013250000000000000e+05 1.242109710772004022e-01 2.027015537800871958e-01 6.613707529191272805e-01 1.171672222358504864e-02
1.050000000000000000e+03 1.013250000000000000e+05 1.116723298794249919e-01 2.056036249058310617e-01 6.708395750848438199e-01 1.188447012990015081e-02
1.050000000000000000e+03 1.013250000000000000e+05 9.876944320821084977e-02 2.085900007225279795e-01 6.805834649838383710e-01 1.205709108542292289e-02
1.050000000000000000e+03 1.013250000000000000e+05 8.548620522047528647e-02 2.116644089309253629e-01 6.906145852868159629e-01 1.223480056178333913e-02
1.050000000000000000e+03 1.013250000000000000e+05 7.180554633241773010e-02 2.148308002897614533e-01 7.009458264538275252e-01 1.241782692399313708e-02
1.050000000000000000e+03 1.013250000000000000e+05 5.770936003944032722e-02 2.180933655533096593e-01 7.115908619977663330e-01 1.260641240948371170e-02
1.050000000000000000e+03 1.013250000000000000e+05 4.317842296506823468e-02 2.214565539760725288e-01 7.225642088611295977e-01 1.280081419772970130e-02
1.050000000000000000e+03 1.013250000000000000e+05 2.819230739651817919e-02 2.249250935564431064e-01 7.338812934666489873e-01 1.300130558038976175e-02
1.100000000000000000e+03 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
1.100000000000000000e+03 1.013250000000000000e+05 1.364005759726714950e-01 1.998802671794587260e-01 6.521655129569182696e-01 1.155364389095150067e-02
1.100000000000000000e+03 1.013250000000000000e+05 1.242109710772004022e-01 2.027015537800871958e-01 6.613707529191272805e-01 1.171672222358504864e-02
1.100000000000000000e+03 1.013250000000000000e+05 1.116723298794249919e-01 2.056036249058310617e-01 6.708395750848438199e-01 1.188447012990015081e-02
1.100000000000000000e+03 1.013250000000000000e+05 9.876944320821084977e-02 2.085900007225279795e-01 6.805834649838383710e-01 1.205709108542292289e-02
1.100000000000000000e+03 1.013250000000000000e+05 8.548620522047528647e-02 2.116644089309253629e-01 6.906145852868159629e-01 1.223480056178333913e-02
1.100000000000000000e+03 1.013250000000000000e+05 7.180554633241773010e-02 2.148308002897614533e-01 7.009458264538275252e-01 1.241782692399313708e-02
1.100000000000000000e+03 1.013250000000000000e+05 5.770936003944032722e-02 2.180933655533096593e-01 7.115908619977663330e-01 1.260641240948371170e-02
1.100000000000000000e+03 1.013250000000000000e+05 4.317842296506823468e-02 2.214565539760725288e-01 7.225642088611295977e-01 1.280081419772970130e-02
1.100000000000000000e+03 1.013250000000000000e+05 2.819230739651817919e-02 2.249250935564431064e-01 7.338812934666489873e-01 1.300130558038976175e-02
1.150000000000000000e+03 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
1.150000000000000000e+03 1.013250000000000000e+05 1.364005759726714950e-01 1.998802671794587260e-01 6.521655129569182696e-01 1.155364389095150067e-02
1.150000000000000000e+03 1.013250000000000000e+05 1.242109710772004022e-01 2.027015537800871958e-01 6.613707529191272805e-01 1.171672222358504864e-02
1.150000000000000000e+03 1.013250000000000000e+05 1.116723298794249919e-01 2.056036249058310617e-01 6.708395750848438199e-01 1.188447012990015081e-02
1.150000000000000000e+03 1.013250000000000000e+05 9.876944320821084977e-02 2.085900007225279795e-01 6.805834649838383710e-01 1.205709108542292289e-02
1.150000000000000000e+03 1.013250000000000000e+05 8.548620522047528647e-02 2.116644089309253629e-01 6.906145852868159629e-01 1.223480056178333913e-02
1.150000000000000000e+03 1.013250000000000000e+05 7.180554633241773010e-02 2.148308002897614533e-01 7.009458264538275252e-01 1.241782692399313708e-02
1.150000000000000000e+03 1.013250000000000000e+05 5.770936003944032722e-02 2.180933655533096593e-01 7.115908619977663330e-01 1.260641240948371170e-02
1.150000000000000000e+03 1.013250000000000000e+05 4.317842296506823468e-02 2.214565539760725288e-01 7.225642088611295977e-01 1.280081419772970130e-02
1.150000000000000000e+03 1.013250000000000000e+05 2.819230739651817919e-02 2.249250935564431064e-01 7.338812934666489873e-01 1.300130558038976175e-02
1.200000000000000000e+03 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
1.200000000000000000e+03 1.013250000000000000e+05 1.364005759726714950e-01 1.998802671794587260e-01 6.521655129569182696e-01 1.155364389095150067e-02
1.200000000000000000e+03 1.013250000000000000e+05 1.242109710772004022e-01 2.027015537800871958e-01 6.613707529191272805e-01 1.171672222358504864e-02
1.200000000000000000e+03 1.013250000000000000e+05 1.116723298794249919e-01 2.056036249058310617e-01 6.708395750848438199e-01 1.188447012990015081e-02
1.200000000000000000e+03 1.013250000000000000e+05 9.876944320821084977e-02 2.085900007225279795e-01 6.805834649838383710e-01 1.205709108542292289e-02
1.200000000000000000e+03 1.013250000000000000e+05 8.548620522047528647e-02 2.116644089309253629e-01 6.906145852868159629e-01 1.223480056178333913e-02
1.200000000000000000e+03 1.013250000000000000e+05 7.180554633241773010e-02 2.148308002897614533e-01 7.009458264538275252e-01 1.241782692399313708e-02
1.200000000000000000e+03 1.013250000000000000e+05 5.770936003944032722e-02 2.180933655533096593e-01 7.115908619977663330e-01 1.260641240948371170e-02
1.200000000000000000e+03 1.013250000000000000e+05 4.317842296506823468e-02 2.214565539760725288e-01 7.225642088611295977e-01 1.280081419772970130e-02
1.200000000000000000e+03 1.013250000000000000e+05 2.819230739651817919e-02 2.249250935564431064e-01 7.338812934666489873e-01 1.300130558038976175e-02
1.250000000000000000e+03 1.013250000000000000e+05 1.482555186097303801e-01 1.971364382284825911e-01 6.432130003325841061e-01 1.139504282920287236e-02
1.250000000000000000e+03 1.013250000000000000e+05 1.364005759726714950e-01 1.998802671794587260e-01 6.521655129569182696e-01 1.155364389095150067e-02
1.250000000000000000e+03 1.013250000000000000e+05 1.242109710772004022e-01 2.027015537800871958e-01 6.613707529191272805e-01 1.171672222358504864e-02
1.250000000000000000e+03 1.013250000000000000e+05 1.116723298794249919e-01 2.056036249058310617e-01 6.708395750848438199e-01 1.188447012990015081e-02
1.250000000000000000e+03 1.013250000000000000e+05 9.876944320821084977e-02 2.085900007225279795e-01 6.805834649838383710e-01 1.205709108542292289e-02
1.250000000000000000e+03 1.013250000000000000e+05 8.548620522047528647e-02 2.116644089309253629e-01 6.906145852868159629e-01 1.223480056178333913e-02
1.250000000000000000e+03 1.013250000000000000e+05 7.180554633241773010e-02 2.148308002897614533e-01 7.009458264538275252e-01 1.241782692399313708e-02
1.250000000000000000e+03 1.013250000000000000e+05 5.770936003944032722e-02 2.180933655533096593e-01 7.115908619977663330e-01 1.260641240948371170e-02
1.250000000000000000e+03 1.013250000000000000e+05 4.317842296506823468e-02 2.214565539760725288e-01 7.225642088611295977e-01 1.280081419772970130e-02
1.250000000000000000e+03 1.013250000000000000e+05 2.819230739651817919e-02 2.249250935564431064e-01 7.338812934666489873e-01 1.300130558038976175e-02
